pods,cpu,memory,nodepool_config,first_time,region
115,4,2,"[{'instance_type': 'c8g.24xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 2}]",2025-05-22 17:26:34+09:00,ap-northeast-1
287,1,6,"[{'instance_type': 'r6id.32xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'r7i.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:22:57+09:00,ap-northeast-1
287,1,6,"[{'instance_type': 'g6e.48xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}, {'instance_type': 'r6id.32xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 't2.large', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:22:16+09:00,ap-northeast-1
287,1,6,"[{'instance_type': 'r5a.24xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}, {'instance_type': 'r7i.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 't2.large', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 13:19:50+09:00,ap-northeast-1
287,1,6,"[{'instance_type': 'r6id.32xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'r7i.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 15:21:41+09:00,ap-northeast-1
287,1,6,"[{'instance_type': 'g6e.48xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}, {'instance_type': 'r5a.24xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}, {'instance_type': 'r8g.16xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-05-22 17:20:09+09:00,ap-northeast-1
400,1,2,"[{'instance_type': 'c8g.24xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 2}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'm5ad.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:08:43+09:00,ap-northeast-1
400,1,2,"[{'instance_type': 'c7gd.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'g6.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'm8g.48xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-05-22 11:08:30+09:00,ap-northeast-1
400,1,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'g6.48xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-05-22 13:08:16+09:00,ap-northeast-1
400,1,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'g6.48xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}, {'instance_type': 'r7i.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 15:08:59+09:00,ap-northeast-1
400,1,2,"[{'instance_type': 'c5d.18xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'm8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 17:08:01+09:00,ap-northeast-1
