InstanceType,Region,AZ,SpotPrice,T3,SPS,IF,exptime
r6i.2xlarge,us-east-1,us-east-1c,0.2453,35.0,3,1.0,250521-0839
m6id.xlarge,us-east-1,us-east-1a,0.0811,30.0,3,1.5,250521-0839
c4.2xlarge,us-east-1,us-east-1f,0.1619,25.0,3,2.5,250521-0839
x8g.large,us-east-1,us-east-1c,0.0635,20.0,3,3.0,250521-0839
r6id.2xlarge,us-east-1,us-east-1a,0.2992,15.0,3,1.0,250521-0839
m6idn.xlarge,us-east-1,us-east-1c,0.1688,10.0,3,2.5,250521-0839
r5b.2xlarge,us-east-1,us-east-1a,0.339,5.0,3,2.5,250521-0839
r5d.xlarge,us-east-1,us-east-1f,0.1557,1.0,3,2.0,250521-0839
c7a.large,us-east-1,us-east-1b,0.0303,50.0,3,2.0,250521-0950
m6in.large,us-east-1,us-east-1b,0.0469,45.0,3,3.0,250521-0950
x1e.xlarge,us-east-1,us-east-1a,0.2219,40.0,3,1.0,250521-0950
r6i.large,us-east-1,us-east-1f,0.038,35.0,3,1.5,250521-0950
i7ie.2xlarge,us-east-1,us-east-1f,0.2796,30.0,3,3.0,250521-0950
d3en.2xlarge,us-east-1,us-east-1d,0.3301,25.0,3,3.0,250521-0950
c5d.2xlarge,us-east-1,us-east-1f,0.1639,20.0,3,2.5,250521-0950
m6in.2xlarge,us-east-1,us-east-1b,0.2283,15.0,3,1.0,250521-0950
i4g.large,us-east-1,us-east-1c,0.0693,10.0,3,2.5,250521-0950
m6idn.2xlarge,us-east-1,us-east-1c,0.3672,5.0,3,1.5,250521-0950
c6id.xlarge,us-east-1,us-east-1f,0.0672,1.0,3,1.5,250521-0950
m5a.large,us-east-1,us-east-1c,0.035,50.0,3,1.5,250521-1100
r5n.xlarge,us-east-1,us-east-1f,0.1245,45.0,3,3.0,250521-1100
c7gd.large,us-east-1,us-east-1b,0.0356,40.0,3,2.5,250521-1100
m5n.large,us-east-1,us-east-1b,0.0546,35.0,3,3.0,250521-1100
m8g.large,us-east-1,us-east-1d,0.0292,30.0,3,2.0,250521-1100
c5d.xlarge,us-east-1,us-east-1f,0.0725,25.0,3,3.0,250521-1100
