InstanceType,AZ,vCPU,Memory,T3,SPS,IF,SpotPrice,OndemandPrice,CoreMark
c6a.32xlarge,usw2-az1,128,256.0,1,3,1.0,1.7856,4.896,30360.9206
c6a.32xlarge,usw2-az2,128,256.0,10,3,1.0,1.7464,4.896,30360.9206
c6a.32xlarge,usw2-az3,128,256.0,1,3,1.0,1.7624,4.896,30360.9206
c6a.32xlarge,usw2-az4,128,256.0,1,3,1.0,1.7149,4.896,30360.9206
c6a.48xlarge,usw2-az1,192,384.0,10,3,2.0,2.6592,7.344,30360.9206
c6a.48xlarge,usw2-az2,192,384.0,30,3,2.0,2.545,7.344,30360.9206
c6a.48xlarge,usw2-az3,192,384.0,15,3,2.0,2.6569,7.344,30360.9206
c6a.48xlarge,usw2-az4,192,384.0,15,3,2.0,2.7036,7.344,30360.9206
c6a.4xlarge,usw2-az1,16,32.0,50,3,2.0,0.2406,0.612,30360.9206
c6a.4xlarge,usw2-az2,16,32.0,50,3,2.0,0.2627,0.612,30360.9206
c6a.4xlarge,usw2-az3,16,32.0,50,3,2.0,0.2533,0.612,30360.9206
c6a.4xlarge,usw2-az4,16,32.0,25,3,2.0,0.2528,0.612,30360.9206
c6a.8xlarge,usw2-az1,32,64.0,50,3,1.0,0.5326,1.224,30360.9206
c6a.8xlarge,usw2-az2,32,64.0,50,3,1.0,0.5401,1.224,30360.9206
c6a.8xlarge,usw2-az3,32,64.0,45,3,1.0,0.5287,1.224,30360.9206
c6a.8xlarge,usw2-az4,32,64.0,10,3,1.0,0.4589,1.224,30360.9206
c6a.large,usw2-az1,2,4.0,50,3,2.0,0.0299,0.0765,30360.9206
c6a.large,usw2-az2,2,4.0,50,3,2.0,0.0286,0.0765,30360.9206
c6a.large,usw2-az3,2,4.0,50,3,2.0,0.0293,0.0765,30360.9206
c6a.large,usw2-az4,2,4.0,50,3,2.0,0.0243,0.0765,30360.9206
c6a.xlarge,usw2-az1,4,8.0,50,3,1.5,0.061,0.153,30360.9206
c6a.xlarge,usw2-az2,4,8.0,50,3,1.5,0.062,0.153,30360.9206
c6a.xlarge,usw2-az3,4,8.0,50,3,1.5,0.0564,0.153,30360.9206
c6a.xlarge,usw2-az4,4,8.0,50,3,1.5,0.0583,0.153,30360.9206
c6i.12xlarge,usw2-az1,48,96.0,20,3,1.0,0.7747,2.04,26919.626888888884
c6i.12xlarge,usw2-az2,48,96.0,25,3,1.0,0.742,2.04,26919.626888888884
c6i.12xlarge,usw2-az3,48,96.0,25,3,1.0,0.7662,2.04,26919.626888888884
c6i.12xlarge,usw2-az4,48,96.0,1,3,1.0,0.7533,2.04,26919.626888888884
c6i.16xlarge,usw2-az1,64,128.0,50,3,2.5,1.0462,2.72,26919.626888888884
c6i.16xlarge,usw2-az2,64,128.0,50,3,2.5,0.8602,2.72,26919.626888888884
c6i.16xlarge,usw2-az3,64,128.0,50,3,2.5,0.9893,2.72,26919.626888888884
c6i.16xlarge,usw2-az4,64,128.0,1,3,2.5,0.9904,2.72,26919.626888888884
c6i.24xlarge,usw2-az1,96,192.0,15,3,1.0,1.5483,4.08,26919.626888888884
c6i.24xlarge,usw2-az2,96,192.0,30,3,1.0,1.3111,4.08,26919.626888888884
c6i.24xlarge,usw2-az3,96,192.0,30,3,1.0,1.571,4.08,26919.626888888884
c6i.24xlarge,usw2-az4,96,192.0,5,3,1.0,1.67,4.08,26919.626888888884
c6i.2xlarge,usw2-az1,8,16.0,50,3,2.0,0.1422,0.34,26919.626888888884
c6i.2xlarge,usw2-az2,8,16.0,50,3,2.0,0.1443,0.34,26919.626888888884
c6i.2xlarge,usw2-az3,8,16.0,50,3,2.0,0.1472,0.34,26919.626888888884
c6i.2xlarge,usw2-az4,8,16.0,50,3,2.0,0.1035,0.34,26919.626888888884
c6i.32xlarge,usw2-az1,128,256.0,1,3,1.0,2.1003,5.44,26919.626888888884
c6i.32xlarge,usw2-az2,128,256.0,5,3,1.0,1.8809,5.44,26919.626888888884
c6i.32xlarge,usw2-az3,128,256.0,15,3,1.0,1.9105,5.44,26919.626888888884
c6i.32xlarge,usw2-az4,128,256.0,5,3,1.0,1.8642,5.44,26919.626888888884
c6i.4xlarge,usw2-az1,16,32.0,45,3,2.0,0.312,0.68,26919.626888888884
c6i.4xlarge,usw2-az2,16,32.0,25,3,2.0,0.2955,0.68,26919.626888888884
c6i.4xlarge,usw2-az3,16,32.0,45,3,2.0,0.3232,0.68,26919.626888888884
c6i.4xlarge,usw2-az4,16,32.0,15,3,2.0,0.2541,0.68,26919.626888888884
c6i.8xlarge,usw2-az1,32,64.0,50,3,2.5,0.5248,1.36,26919.626888888884
c6i.8xlarge,usw2-az2,32,64.0,50,3,2.5,0.4861,1.36,26919.626888888884
c6i.8xlarge,usw2-az3,32,64.0,50,3,2.5,0.4997,1.36,26919.626888888884
c6i.8xlarge,usw2-az4,32,64.0,30,3,2.5,0.4524,1.36,26919.626888888884
c6i.large,usw2-az1,2,4.0,30,3,1.5,0.0433,0.085,26919.626888888884
