run,pods,cpu,mem,alpha,cost,performance,actual_pods
result_110421,400,1,2,1.0,26272.6543,33286712957,1281480
result_110421,400,1,4,1.0,26226.884100000003,28292021255,1090056
result_110421,400,2,2,1.0,26195.85230000001,16591824305,638560
result_110421,439,1,9,1.0,25714.215799999994,17583573187,675897
result_110421,50,1,2,1.0,26272.6543,33286712957,1281480
result_110421,50,1,4,1.0,26226.884100000003,28292021255,1090056
result_110421,50,2,2,1.0,26195.85230000001,16591824305,638560
result_110421,75,3,5,1.0,25671.50040000001,10407408039,399331
result_110503,1000,1,2,1.0,27813.65559999999,36033978854,1359567
result_110503,1000,1,4,1.0,27766.15579999999,29237720480,1104967
result_110503,1000,2,2,1.0,27733.075299999993,17966772411,677658
result_110503,100,1,2,1.0,27813.65559999999,36033978854,1359567
result_110503,100,1,4,1.0,27766.15579999999,29237720480,1104967
result_110503,100,2,2,1.0,27733.075299999993,17966772411,677658
result_110503,10,1,2,1.0,27813.65559999999,36033978854,1359567
result_110503,10,1,4,1.0,27766.15579999999,29237720480,1104967
result_110503,10,2,2,1.0,27733.075299999993,17966772411,677658
result_110503,115,4,2,1.0,27157.809299999986,8817807879,332196
result_110503,17,7,7,1.0,25794.344299999982,4522154334,169534
result_110503,287,1,6,1.0,27642.36499999998,22605687345,854631
result_110503,400,1,2,1.0,27813.65559999999,36033978854,1359567
result_110503,400,1,4,1.0,27766.15579999999,29237720480,1104967
result_110503,400,2,2,1.0,27733.075299999993,17966772411,677658
result_110503,439,1,9,1.0,27151.11749999999,16884962465,637379
result_110503,50,1,2,1.0,27813.65559999999,36033978854,1359567
result_110503,50,1,4,1.0,27766.15579999999,29237720480,1104967
result_110503,50,2,2,1.0,27733.075299999993,17966772411,677658
result_110503,75,3,5,1.0,27157.809299999986,11259061764,423132
result_110509,1000,1,2,1.0,28199.494700000094,37916127107,1418921
result_110509,1000,1,4,1.0,28150.4035000001,30816108871,1153299
result_110509,1000,2,2,1.0,28119.004500000094,18906751617,707308
result_110509,100,1,2,1.0,28199.494700000094,37916127107,1418921
result_110509,100,1,4,1.0,28150.4035000001,30816108871,1153299
result_110509,100,2,2,1.0,28119.004500000094,18906751617,707308
result_110509,10,1,2,1.0,28199.494700000094,37916127107,1418921
result_110509,10,1,4,1.0,28150.4035000001,30816108871,1153299
result_110509,10,2,2,1.0,28119.004500000094,18906751617,707308
result_110509,115,4,2,1.0,27554.6742000001,9289897813,347116
result_110509,17,7,7,1.0,26239.965600000065,4785349197,177940
result_110509,287,1,6,1.0,28027.142900000094,23639234983,883962
result_110509,400,1,2,1.0,28199.494700000094,37916127107,1418921
result_110509,400,1,4,1.0,28150.4035000001,30816108871,1153299
result_110509,400,2,2,1.0,28119.004500000094,18906751617,707308
result_110509,439,1,9,1.0,27524.30590000008,17588675696,656141
result_110509,50,1,2,1.0,28199.494700000094,37916127107,1418921
result_110509,50,1,4,1.0,28150.4035000001,30816108871,1153299
result_110509,50,2,2,1.0,28119.004500000094,18906751617,707308
result_110509,75,3,5,1.0,27554.6742000001,11895860863,443440
result_110515,1000,1,2,1.0,24472.208999999966,31178490411,1194927
result_110515,1000,1,4,1.0,24429.95039999996,26721622262,1024255
result_110515,1000,2,2,1.0,24399.263499999972,15539281222,595358
result_110515,100,1,2,1.0,24472.208999999966,31178490411,1194927
result_110515,100,1,4,1.0,24429.95039999996,26721622262,1024255
result_110515,100,2,2,1.0,24399.263499999972,15539281222,595358
result_110515,10,1,2,1.0,24472.208999999966,31178490411,1194927
result_110515,10,1,4,1.0,24429.95039999996,26721622262,1024255
result_110515,10,2,2,1.0,24399.263499999972,15539281222,595358
result_110515,115,4,2,1.0,23912.041499999963,7631665225,292109
result_110515,17,7,7,1.0,22750.201699999972,3923482031,149439
result_110515,287,1,6,1.0,24344.32259999997,21751773564,834267
result_110515,400,1,2,1.0,24472.208999999966,31178490411,1194927
result_110515,400,1,4,1.0,24429.95039999996,26721622262,1024255
result_110515,400,2,2,1.0,24399.263499999972,15539281222,595358
result_110515,439,1,9,1.0,23963.507799999974,16864042775,645958
result_110515,50,1,2,1.0,24472.208999999966,31178490411,1194927
result_110515,50,1,4,1.0,24429.95039999996,26721622262,1024255
result_110515,50,2,2,1.0,24399.263499999972,15539281222,595358
result_110515,75,3,5,1.0,23912.041499999963,9754688757,372410
result_110521,1000,1,2,1.0,24702.878399999987,31541616089,1212197
result_110521,1000,1,4,1.0,24658.585199999983,26810883662,1030566
result_110521,1000,2,2,1.0,24628.437699999984,15720214934,603958
