InstanceType,AZ,vCPU,Memory,T3,SPS,IF,SpotPrice,OndemandPrice,CoreMark
c5n.4xlarge,use1-az4,16,42.0,15,3,1.0,0.4667,0.864,24562.482727272727
c5n.4xlarge,use1-az5,16,42.0,5,3,1.0,0.4276,0.864,24562.482727272727
c5n.4xlarge,use1-az6,16,42.0,10,3,1.0,0.4253,0.864,24562.482727272727
c5n.9xlarge,use1-az1,36,96.0,20,3,1.0,0.9585,1.944,24562.482727272727
c5n.9xlarge,use1-az2,36,96.0,15,3,1.0,0.8972,1.944,24562.482727272727
c5n.9xlarge,use1-az4,36,96.0,25,3,1.0,0.8075,1.944,24562.482727272727
c5n.9xlarge,use1-az5,36,96.0,5,3,1.0,0.6971,1.944,24562.482727272727
c5n.9xlarge,use1-az6,36,96.0,15,3,1.0,0.9234,1.944,24562.482727272727
c5n.large,use1-az1,2,5.25,50,3,1.0,0.0401,0.108,24562.482727272727
c5n.large,use1-az2,2,5.25,25,3,1.0,0.0385,0.108,24562.482727272727
c5n.large,use1-az4,2,5.25,50,3,1.0,0.0386,0.108,24562.482727272727
c5n.large,use1-az5,2,5.25,50,3,1.0,0.0342,0.108,24562.482727272727
c5n.large,use1-az6,2,5.25,50,3,1.0,0.0368,0.108,24562.482727272727
c5n.xlarge,use1-az1,4,10.5,50,3,2.0,0.0822,0.216,24562.482727272727
c5n.xlarge,use1-az2,4,10.5,5,3,2.0,0.1024,0.216,24562.482727272727
c5n.xlarge,use1-az4,4,10.5,30,3,2.0,0.0884,0.216,24562.482727272727
c5n.xlarge,use1-az5,4,10.5,5,3,2.0,0.0805,0.216,24562.482727272727
c5n.xlarge,use1-az6,4,10.5,25,3,2.0,0.0933,0.216,24562.482727272727
c6a.12xlarge,use1-az1,48,96.0,25,3,2.0,0.7578,1.836,30360.9206
c6a.12xlarge,use1-az2,48,96.0,50,3,2.0,0.6896,1.836,30360.9206
c6a.12xlarge,use1-az2,48,96.0,50,3,2.0,0.6896,1.836,30360.9206
c6a.12xlarge,use1-az2,48,96.0,50,3,2.0,0.6896,1.836,30360.9206
c6a.12xlarge,use1-az2,48,96.0,50,3,2.0,0.6896,1.836,30360.9206
c6a.12xlarge,use1-az4,48,96.0,50,3,2.0,0.7918,1.836,30360.9206
c6a.12xlarge,use1-az4,48,96.0,50,3,2.0,0.7918,1.836,30360.9206
c6a.12xlarge,use1-az4,48,96.0,50,3,2.0,0.7918,1.836,30360.9206
c6a.12xlarge,use1-az4,48,96.0,50,3,2.0,0.7918,1.836,30360.9206
c6a.12xlarge,use1-az5,48,96.0,30,3,2.0,0.7697,1.836,30360.9206
c6a.12xlarge,use1-az6,48,96.0,50,3,2.0,1.0961,1.836,30360.9206
c6a.16xlarge,use1-az1,64,128.0,10,3,2.5,1.0027,2.448,30360.9206
c6a.16xlarge,use1-az2,64,128.0,50,3,2.5,1.1116,2.448,30360.9206
c6a.16xlarge,use1-az4,64,128.0,30,3,2.5,1.1979,2.448,30360.9206
c6a.16xlarge,use1-az5,64,128.0,15,3,2.5,1.1364,2.448,30360.9206
c6a.16xlarge,use1-az6,64,128.0,45,3,2.5,1.3248,2.448,30360.9206
c6a.24xlarge,use1-az1,96,192.0,5,3,2.5,1.3142,3.672,30360.9206
c6a.24xlarge,use1-az2,96,192.0,50,3,2.5,1.66,3.672,30360.9206
c6a.24xlarge,use1-az4,96,192.0,50,3,2.5,1.7638,3.672,30360.9206
c6a.24xlarge,use1-az5,96,192.0,15,3,2.5,1.8117,3.672,30360.9206
c6a.24xlarge,use1-az6,96,192.0,50,3,2.5,1.6914,3.672,30360.9206
c6a.2xlarge,use1-az1,8,16.0,50,3,1.5,0.1451,0.306,30360.9206
c6a.2xlarge,use1-az2,8,16.0,50,3,1.5,0.1318,0.306,30360.9206
c6a.2xlarge,use1-az4,8,16.0,50,3,1.5,0.1457,0.306,30360.9206
